developer,game,setting,engine,genre,visual_style,animation,public_build,latest_version,graphtreon,download_link_windows,download_link_linux,download_link_mac,download_link_android
Cypress Zeta and Outbreak Games,Overwhored,Fantasy,RPGM,RPG,2D anime,No,https://outbreakgames.itch.io/overwhored,,https://graphtreon.com/creator/cypressz,,,,
Marble Syrup ,Re:maid,Contemporary,Other,VN,2D anime,No,https://www.newgrounds.com/portal/view/669567?id=669567,,https://graphtreon.com/creator/marblesyrup,,,,
Marble Syrup ,Nympho Waifu++,Contemporary,Other,VN,2D anime,No,Paid Builds,,https://graphtreon.com/creator/marblesyrup,,,,
Marble Syrup ,Crusoe Had It Easy,Contemporary,Flash,VN,2D anime,No,https://www.newgrounds.com/portal/view/660850?id=660850,,https://graphtreon.com/creator/marblesyrup,,,,
Arvus Games,Roundscape,Fantasy,RPGM,RPG,2D anime,Yes,Paid Builds,,https://graphtreon.com/creator/Roundscape,,,,
Arvus Games,Uprising ,Contemporary fantasy,RPGM,RPG,2D anime,Yes,Paid Builds,,https://graphtreon.com/creator/Roundscape,,,,
Project Helius ,Fallen Doll,Contemporary,UE4,VR Sim,3D anime,Yes,https://mega.nz/#!HFxHXYbA!0qLNMnRlo_2jElv98B_g3Unqt_d0oEK5iKhD1p_-VF0,,https://graphtreon.com/creator/ProjectH,,,,
MITY,Four Elements Trainer,Fantasy,Ren'Py,Trainer,2D western,Yes,https://www.patreon.com/mity,,https://graphtreon.com/creator/mity,https://mega.nz/#!MiQRHCgb!kgN1v-QMPmaeOkVPWrPnbgS20A-oyGyPvm8B34p6q94,https://mega.nz/#!MiQRHCgb!kgN1v-QMPmaeOkVPWrPnbgS20A-oyGyPvm8B34p6q94,https://mega.nz/#!xnQT0CRa!kxrU0cVyaAU0zcoUW9igCfRAI7Cz0BC6ZNSWw6Jy3SQ,Doesn’t support
Eek! Games,House Party,Contemporary,Unity,Adventure,3D DAZ models,Yes,Paid Builds,0.8.3 ,https://graphtreon.com/creator/eekgames,,,,
Lewdlab,Dreams of Desire,Contemporary,Ren'Py,VN,3D DAZ renders,Yes,https://www.patreon.com/posts/16096607,,https://graphtreon.com/creator/lewdlab,,,,
The Future Fragments Team,Future Fragments,Sci-fi,Other,Platformer,2D pixel,Yes,https://www.newgrounds.com/portal/view/683361?id=683361,,https://graphtreon.com/creator/FutureFragments,,,,
VRT Team,VR Titties,Contemporary,UE4,VR Sim,3D stylized,Yes,Paid Builds,,https://graphtreon.com/creator/vrtitties,,,,
Sunsetriders7 ,Something Unlimited,Contemporary fantasy,Unity,VN,2D comic/cartoon,Yes,On their Discord,,https://graphtreon.com/creator/sunsetriders7,,,,
Octopussy ,The Tower,Fantasy,Flash,RPG,2D anime,Yes,https://mega.nz/#!974UwBha!F3ry_Zot5GY4GEkKg7B73LVES2O540ux50PQIJTS85I,,https://graphtreon.com/creator/Octopussy,,,,
Cuddle Pit ,Con-Quest,Contemporary,Flash,RPG,2D anime,Yes,https://www.newgrounds.com/portal/view/702720,,https://graphtreon.com/creator/cuddlepitgames,,,,
PGSPOTSTUDIOS,The Legend of Lust,Fantasy,Flash,VN,2D anime,Yes,http://www.pgspotstudios.com/productions/thelegendoflust/game/TheLegendofLUST.zip,,https://graphtreon.com/creator/PGSPOTSTUDIOS,,,,
David Goujard,Behind the Dune,Sci-fi fantasy,Flash,VN,2D western,Yes,http://davidgoujard.com/btd.html,,https://graphtreon.com/creator/balsamique,,,,
Eva Kiss ,Good Girl Gone Bad,Contemporary,Ren'Py,VN,2D vector,No,Paid Builds,,https://graphtreon.com/creator/Evakiss,,,,
ViperV,Divine Arms,Fantasy,Flash,Action RPG,2D anime,Yes,https://www.dropbox.com/sh/be5t7jp4f6cgsya/AACPLwEAUTD0lrl-Pk6ZWJVNa?dl=0,,https://graphtreon.com/creator/viperv,,,,
The Majalis Duo,Tales of Androgyny,Fantasy,Java,Roguelite,2D anime,Yes,https://majalis.itch.io/tales-of-androgyny,,https://graphtreon.com/creator/Majalis,,,,
Eromancer,Malise and the Machine,Sci-fi,RPGM,RPG,3D DAZ renders,Yes,Paid Builds,,https://graphtreon.com/creator/eromancer,,,,
SweGabe,Legend of Queen Opala,Fantasy,RPGM,RPG,2D anime,No,Paid Builds,,https://graphtreon.com/creator/GabeWork,,,,
DyneWulf ,Extracurricular Activities,Contemporary,Ren'Py,VN,2D Furry,No,https://dynewulf.itch.io/extracurricular-activities,,https://graphtreon.com/creator/dk999,,,,
Adeptus Steve,Wild Life,Fantasy,UE4,Action RPG,3D stylized,Yes,https://drive.google.com/open?id=15f13815QK3fwycfCzCgoWfW1NnjrV43Y,,https://graphtreon.com/creator/adeptussteve,,,,
GDS,Chloe18 ,Contemporary,Other,VN,3D DAZ renders,Yes,https://gds-games.com/chloe18/chloe18-public-version,,https://graphtreon.com/creator/GDSgames,,,,
GeeSeki,A Town Uncovered,Contemporary,Ren'Py,VN,2D western,Yes,https://www.patreon.com/posts/alpha-0-12-15056439,,https://graphtreon.com/creator/GeeSekiVN,,,,
Vortex00,Umichan Maiko Classroom Havoc,Contemporary,Flash,Adventure,2D anime,Yes,http://spiralvortexplay.com/svp/umichan-maiko-classroom-havoc/,,https://graphtreon.com/creator/vortex00,,,,
Vortex00,Advanced Rogue Intelligence Assault ,Sci-fi,Flash,RTS,2D anime,Yes,http://spiralvortexplay.com/svp/flash/advanced-rogue-intelligence-assault-aria/,,https://graphtreon.com/creator/vortex00,,,,
Vortex00,Umichan Sentoryu,Contemporary,Flash,VN,2D anime,Yes,http://spiralvortexplay.com/svp/umichan-sentoryu/,,https://graphtreon.com/creator/vortex00,,,,
Vortex00,ARIA: The Rookie,Contemporary,Flash,VN,2D anime,Yes,http://spiralvortexplay.com/svp/aria-the-rookie/,,https://graphtreon.com/creator/vortex00,,,,
YummyTiger,Aylia's story,Fantasy,RPGM,RPG,2D anime,No,Paid Builds,,https://graphtreon.com/creator/YummyTiger,,,,
Towerfag and his Team,Kingdom: Conquest,Fantasy,RPGM,RPG,2D anime,Yes,https://towerfag.itch.io/towergirls,,https://graphtreon.com/creator/towerKC,,,,
Strumpets,Strumpets,Fantasy,Flash,Brothel Sim,2D anime,Yes,https://www.newgrounds.com/portal/view/703761,,https://graphtreon.com/creator/strumpets,,,,
KsT ,The Twist,Contemporary,Unity,VN,3D stylized,Yes,Paid Builds,,https://graphtreon.com/creator/kstgames,,,,
VAULTMAN ,Camp Pinewood,Contemporary,Unity,VN,2D western,No,https://drive.google.com/open?id=1tz2R5c6EIGVit7PfUM3BWvk2bMcPE-kj,,https://graphtreon.com/creator/VaultMan,,,,
Splendid Ostrich,Newlife,Contemporary,Java,Life Sim,Text,No,https://mega.nz/#!FE4wFZwT!ueVG25-6FaWOOijCWsszWWrWnVEmnIvA-wvKdmcxftM,,https://graphtreon.com/creator/splendidostrich,,,,
Sexums ,Soo Cubus,Contemporary fantasy,Flash,RPG,2D pixel,Yes,http://sexumsss.blogspot.ca/p/soo-cubus.html,,https://graphtreon.com/creator/sexums,,,,
